id,address,latitude,longitude,looks like mill (logs and/or sawdust visible),source
Foxfire Fuelwood inc.,"P.O. Box 881005 Steamboat Springs, CO 80488",,,no,Colorado Forest Products Database
TimberHorse Forestry,"5218 Stove Prairie Rd. Bellvue, CO 80512",40.63707358,-105.3683827,no,Colorado Forest Products Database
Rocks & Pines Forest Products,"P.O. Box 168 Laporte, CO 80535",,,no,Colorado Forest Products Database
P LAZY 6,"1985 Pratt Creek Rd. Livermore, CO",40.94685516,-105.5632284,no,Colorado Forest Products Database
TimberScapes,"1543 Walnut St. Windsor, CO",40.47506259,-104.9297421,no,Colorado Forest Products Database
Uprooted Artistry,"3300 Fillmore Ave, Loveland, CO 80538, USA",40.42565558,-105.0705514,no,Colorado Forest Products Database
Mourning Reclaimed Wood,"2650 North Lincoln Avenue, Loveland, CO, USA",40.41969973,-105.0722537,no,Colorado Forest Products Database
Wood Butcher Ltd.,"16 Tracy Trail Rd, Loveland, CO 80537, USA",40.41355679,-105.2524176,no,Colorado Forest Products Database
Reed Logging & Tree Service,"1901 Fish Creek Rd. Estes Park, CO 80517",40.34993197,-105.5019619,no,Colorado Forest Products Database
BD Timber,"2404 Aral Dr. Longmont, CO 80504",40.20161087,-105.065786,no,Colorado Forest Products Database
Marc Lyman,Boy Scout Camp Tahosa,40.10715561,-105.4909495,no,Colorado Forest Products Database
Vaughn's Tree Service,"13536 Gold Hill Rd. Boulder, CO 80302",40.05424047,-105.4551234,no,Colorado Forest Products Database
Block Forest Products,"4300 Sunshine Canyon Dr. Boulder, CO 80301",40.05265416,-105.3356176,no,Colorado Forest Products Database
Reclaimed West,"12508 Arapahoe Rd. Lafayette, CO 80026",40.01487867,-105.0601894,no,Colorado Forest Products Database
Technical Transition Inc.,"4415 Chippewa Dr. Boulder, CO 80303",39.99658948,-105.2385558,no,Colorado Forest Products Database
Forrister Woodworking and Sawmilling LLC,"205 Pawnee Dr. Boulder, CO 80303",39.99139988,-105.2367798,no,Colorado Forest Products Database
LumberJacks Logging & Firewood,"5324 Highway 72 Black Hawk, CO 80422",39.92522018,-105.4683317,no,Colorado Forest Products Database
Hard Up Lumber,"P.O. Box 366 Tabernash, CO 80478",39.9933462,-105.8467764,no,Colorado Forest Products Database
Robert Clemans,"6494 Lone Eagle Rd. Golden, CO 80403",39.81684775,-105.3912466,no,Colorado Forest Products Database
Elk Trails Ranch,"893 Robinson Hill Rd. Black Hawk, CO 80422",39.80523444,-105.4241309,no,Colorado Forest Products Database
Mountain High Contracts,"P.O. Box 99 Central City, CO 80427",,,no,Colorado Forest Products Database
Denver Wood Slabs,"4903 Washington St, Denver, CO 80216, USA",39.78568559,-104.9784679,no,Colorado Forest Products Database
Moose Haven Milling Ltd.,"4441 Forest Service Road 195 Larimer County, CO",40.95161813,-105.7644565,no,Colorado Forest Products Database
